"","tweet_id","tweet_text","tweet_created_at","tweet_geo_lat","tweet_geo_lon","tweet_city","text_clean"
"83","741715512351133700","I'm at Delta Flight 1509 CLE &gt; ATL in Cleveland, OH https://t.co/ZVNgdCS00I","Sat Jun 11 19:35:33 +0000 2016","41.41154","-81.839966","Cleveland, OH","i m delta flight 1509 cle gt atl cleveland oh http tcozvngdcs00i"
"84","741716579512127488","Cider flight! @ Sterling Cidery https://t.co/vhu3HZgAjj","Sat Jun 11 19:39:47 +0000 2016","43.3163","-76.70398","New York, USA","cider flight sterling cidery http tcovhu3hzgajj"
"85","741716944848457728","@DubeScoops @NASCAR_XFINITY @FOXSports1Desk @MISpeedway afternoon by Trent Brousard &amp; great flyover by Holigan Flight Team! :) #Menards250","Sat Jun 11 19:41:14 +0000 2016","34.8565622","-92.4080965","Leanne's","dubescoops nascarxfinity foxsports1desk mispeedway afternoon trent brousard amp great flyover holigan flight team menards250"
"86","741721160543440896","See our latest #Joplin, MO #job and click to apply: Flight Paramedic - 24 - https://t.co/p9dcsQ81VW #Healthcare #Hiring #CareerArc","Sat Jun 11 19:57:59 +0000 2016","37.0842271","-94.513281","Joplin, MO","see latest joplin mo job click apply flight paramedic 24 http tcop9dcsq81vw healthcare hiring careerarc"
"87","741721777047371776","#helicopter @ Frontiers Of Flight Museum https://t.co/vB9HVKyvtW","Sat Jun 11 20:00:26 +0000 2016","32.84240518","-96.83512651","Dallas, TX","helicopter frontiers of flight museum http tcovb9hvkyvtw"
"88","741722243743514624","I'm at Flight Path Learning Center Museum in Los Angeles, CA https://t.co/HZ45AgOaAb https://t.co/KcP6pNX5sA","Sat Jun 11 20:02:18 +0000 2016","33.93184188","-118.40580583","Los Angeles, CA","i m flight path learning center museum los angeles ca http tcohz45agoaab http tcokcp6pnx5sa"
"89","741723709187166209","Minis for the flight (at @TotalWine &amp; More in Lynnwood, WA) https://t.co/5Du4LSXmSP","Sat Jun 11 20:08:07 +0000 2016","47.832662","-122.269813","Lynnwood, WA","minis flight totalwine amp more lynnwood wa http tco5du4lsxmsp"
"90","741724941570166784","I'm at Flight Coffee Co. in Dover, NH https://t.co/eUuJNDJvUp","Sat Jun 11 20:13:01 +0000 2016","43.19840177","-70.87452132","Dover, NH","i m flight coffee co dover nh http tcoeuujndjvup"
"93","741726708479365124","#IAD #ORD Washington Dulles -&gt; Chicago $200 https://t.co/D3sAx110Tr","Sat Jun 11 20:20:02 +0000 2016","38.9444","-77.4558","Virginia, USA","iad ord washington dulles gt chicago 200 http tcod3sax110tr"
"94","741726961140015106","#IAD #AUS Washington Dulles -&gt; Austin Texas $169 https://t.co/D3sAx110Tr","Sat Jun 11 20:21:02 +0000 2016","38.9444","-77.4558","Virginia, USA","iad aus washington dulles gt austin texas 169 http tcod3sax110tr"
"96","741727213817462784","#IAD #SEA Washington Dulles -&gt; Seattle $137 https://t.co/D3sAx110Tr","Sat Jun 11 20:22:03 +0000 2016","38.9444","-77.4558","Virginia, USA","iad sea washington dulles gt seattle 137 http tcod3sax110tr"
"99","741727466461368321","#AUS #LAS Austin Texas -&gt; Las Vegas $169 https://t.co/bY9u7cLWJ5","Sat Jun 11 20:23:03 +0000 2016","30.1944","-97.67","Austin, TX","aus las austin texas gt las vegas 169 http tcoby9u7clwj5"
"105","741734367777558528","First ""O"" flight for Senior Airman Wehrle. @ South Jersey Regional Airport https://t.co/VjQNh7sBQj","Sat Jun 11 20:50:28 +0000 2016","39.9449692","-74.8377533","New Jersey, USA","first o flight senior airman wehrle south jersey regional airport http tcovjqnh7sbqj"
